,,
,,
    CBRE The Core ,"Anthony Fokkerweg 15, 1059 CM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    De Keizer Amstelveen ,"Christiaan Huygenshof 1, 1185 XH AMSTELVEEN NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
    Epicenter A'dam ,"Fred Roeskestraat 115-117-123, 1076 EE Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
,,
    Guerrilla Games ,"Herengracht 601, 1017 CZ Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    Halve Maen ,"Spadinalaan 94 t/m 266, 1031KA Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Heineken Zoeterwoude ,"Burgemeester Smeetsweg 1, 2382 PH Zoeterwoude NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
,,
,,
,,
,,
    Holland Park Blok 6 ,"Eekholt 42, Blok 6, 1112XH Diemen NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Holland Park Blok 7 ,"Eekholt 42, Blok 7, 1112 XH Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Holland Park Toren 3 ,"Eekholt 42, toren 3, 1112XH Diemen NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Holland Park Toren 4 ,"Eekholt 42, toren 4, 1112 XH Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    HUT Beursstraat ,"Beursstraat 33, 1012 JV AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    HUT Warmoesstraat ,"Warmoesstraat 44-50, 1012JE Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    HVA DMH ,"Dokter Meurerlaan 8 Sportcampus, 1067SM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    HVA FMB ,"Businesscampus, Fraijlemaborg 133, 1102CV Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    HVA KSH ,"Wibautstraat 2-4 KSH Amstelcampus, 1091GM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    HVA NTH ,"Tafelbergweg 51 Gezondheidscampus , 1105BD Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    HVA WBH ,"Wibautstraat 3b, 1091GH Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    IBM HDK 0 ,"Johan Huizingalaan 765, 1066 VH Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
    IJland I 930 - 1064 ,"Bert Haanstra kade IJland I - 906 t/m 1064, 1087HM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    IJland II 794 - 920 ,"Bert Haanstra kade IJland II - 794 t/m 920, 1087HM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    IJland III 662 - 788 ,"Bert Haanstra kade IJland III - 662 t/m 788, 1087HM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    IJland IV 526 - 652 ,"Bert Haanstra kade pand IV - Ijburg, 1087HM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Infinity ,"Amstelveenseweg 500, 1081 KL Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    ING ACT Amsterdam ,"Bijlmerdreef 24 , 1102 CT AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
    Joan Muyskenweg 4 ,"Joan Muyskenweg 4, 1096 CJ Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Joan Muyskenweg 6 ,"Joan Muyskensweg 6, 1096 CJ Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
,,
,,
,,
    KLM Bemanningscentrum ,"Havenmeesterweg 27, 1118 CB Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Laan van Langerhuize 1 ,"Laan van Langerhuize 1, 1186 DS AMSTELVEEN NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Liberty Global ,"Boeing Avenue 53, 1119 PE Schiphol-rijk NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
    MYPUP HQ ,"H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Nationale Nederlanden Amsterdam ,"Amstelplein 6, 1096 BC AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    Netflix Amsterdam ,"Stadhouderskade 55, 1072 AB Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    Newday Offices Almere ,"P.J. Oudweg 41, 1314 CJ Almere NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    Nieuw Amsterdam ,"Hoekenrode 3, 1102BR Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    OurCampus Amsterdam Diemen ,"Dalsteindreef 2002, 1112 XC Diemen NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    OurDomain Amsterdam Diemen ,"Dalsteindreef 2002, 1112 XC Diemen NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Palo Alto Networks ,"De Entrée 99-197, Oval Tower, Floor 1, 1101 HE Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
,,
,,
,,
,,
,,
    PwC Amsterdam ,"Thomas R. Malthusstraat 5, 1066 JR AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
    Q Port ,"Kingsfordweg 43-117 , 1043 GP Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Quarter Avenue ,"Condensatorweg 54, 1014 AX AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Quarter Plaza ,"Transformatorweg 74, 1014 AK AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Quarter Podium ,"Gatwickstraat 9-39, 1043 GL AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
,,
,,
,,
    Spakler ,"Spaklerweg 12 C, 1096 BA Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Spicalaan Hoofddorp ,"Spicalaan 1-59, 2132 JG Hoofddorp NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Statendam ,"Ceramiquelaan-Hammerbystraat, 1031KA Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    Symphony Offices ,"Gustav Mahlerlaan 405, 1082 MK Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
    The Curve ,"Tt. Vasumweg 58, 1032 KK AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
    TomTom DRK ,"De Ruijterkade 154, 1011 AC AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    TomTom ODE ,"Oosterdoksstraat 114, 1011 DK AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
    UP ,"Piet Heinkade 55, 1019 GM Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    UVA BH / OIH ,"Kloveniersburgwal 48, 1012CX Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    UVA HVA LWB Privé ,"Weesperzijde 190, 1097DZ Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
    UVA PCH ,"Spuistraat 134, 1012VB Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    UVA REC ABC ,"Nieuwe Achtergracht 166, 1018 WV  Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
,,
,,
,,
    UVA REC M ,"Plantage Muidergracht 12, 1018TV Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    UVA SP904 ,"Science Park 904, 1098XH Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    UVA UB Singel 425 ,"Singel 425, 1012WP Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
,,
,,
,,
,,
    WTC Amsterdam Toren B ,"Strawinskylaan 1, 1077 XW Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    WTC Amsterdam Toren I ,"Strawinskylaan 1, 1077 XW AMSTERDAM NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
,,
    WTC Schiphol ,"Schiphol Boulevard 127, 1118 BK Schiphol NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
,,
    Ymere ,"Jollemanhof 21, 1019GW Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"
    Yolt ,"Hoogoorddreef 60, 1101BE Amsterdam NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
    YoungCapital ,"Siriusdreef 12, 2132 WT Hoofddorp NL","H.J.E. Wenckebachweg 6 V15, 1096 AN AMSTERDAM NL"
